subj_idx,condition,rt,response,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin,bin_id,ams_bin_cpp
sub-09,1.0,0.398410100024194,a,-8.957840545705595,-2.7128831119547927,0.4694062784720794,1st,1st,3rd,-1.092747288072189,-1.1527464244514374,0.4415262046053175,0,-5.821319803729184
sub-07,0.0,0.292884999886155,a,-8.927802853079148,1.9262347383312597,1.3899236392849628,1st,4th,4th,-0.8900980656666287,0.7581736475407744,1.2158635162430274,0,-5.821319803729184
sub-09,0.0,0.363253099960275,f,-7.262784356772642,-4.562450440679824,-0.8863426633344664,1st,1st,1st,-1.092747288072189,-1.1527464244514374,-1.2382718569868258,0,-5.821319803729184
sub-04,0.0,0.721542,f,-6.769387142145906,-0.4688373463261354,1.370163078322551,1st,2nd,4th,-1.1958735351307377,-0.2807676587930706,1.3554505572930526,0,-5.821319803729184
sub-11,0.0,0.280709699960425,f,-6.566526590810261,0.7611482147407798,-0.583222736559028,1st,4th,2nd,-1.2359072289243414,1.258713733330292,-0.4700966070251631,0,-5.821319803729184
sub-01,0.0,0.4208967,a,-5.992572376926006,-1.2079851104167434,0.8132957224879714,1st,1st,4th,-1.217328000755635,-1.2252449397856893,1.2849082299077648,0,-5.821319803729184
sub-10,0.0,0.22301990003325,a,-5.955852770117519,-3.186414026134762,-0.9240645383156598,1st,1st,1st,-1.2695805782505276,-1.2252036265343489,-1.234897725291273,0,-5.821319803729184
sub-01,0.0,0.4405499,a,-5.792850516091846,-2.8541119119065153,-1.5071237880839463,1st,1st,1st,-1.217328000755635,-1.2252449397856893,-1.2514744014158337,0,-5.821319803729184
sub-04,0.0,0.4381486,f,-5.637946964906907,-0.4998810357470385,1.381474833075656,1st,2nd,4th,-1.1958735351307377,-0.2807676587930706,1.3554505572930526,0,-5.821319803729184
sub-13,1.0,0.428812799989828,f,-5.583469780282133,-0.475228044760906,-1.3557011115055335,1st,2nd,1st,-1.2492432313494752,-0.3052191826869085,-1.23506634577786,0,-5.821319803729184
sub-04,0.0,0.4686221,a,-5.44646398329242,1.6213521862461973,-0.2807654048131984,1st,4th,2nd,-1.1958735351307377,1.231398571603478,-0.4084667903048427,0,-5.821319803729184
sub-19,0.0,0.424142799922265,f,-5.302087260258677,-2.8689959527220528,-1.2672498161048735,1st,1st,1st,-1.188533742531678,-1.2343047440630983,-1.3139887258523006,0,-5.821319803729184
sub-13,0.0,0.421198100011679,a,-4.959029105120797,-1.0179722077744962,-0.1743356279309892,1st,1st,2nd,-1.2492432313494752,-1.2249780912623476,-0.3892423808585573,0,-5.821319803729184
sub-17,0.0,0.40920809993986,f,-4.944403540120634,-1.9359208961872336,-0.0089759193597665,1st,1st,2nd,-1.253112302331078,-1.2240855161984534,-0.2988284105521014,0,-5.821319803729184
sub-04,1.0,0.5528122,f,-4.80924606364278,-1.303779411894722,0.6024785783585447,1st,1st,3rd,-1.1958735351307377,-1.255032058739156,0.2873671103052985,0,-5.821319803729184
sub-17,1.0,0.529868599958718,a,-4.772615745564384,0.1546626459177852,-0.3548606602251885,1st,3rd,2nd,-1.253112302331078,0.3046450110926432,-0.2988284105521014,0,-5.821319803729184
sub-09,0.0,0.400427799904719,f,-4.765874111647772,6.806508905847213,-0.1822192611540675,1st,4th,2nd,-1.092747288072189,1.152728877336815,-0.4745941420593808,0,-5.821319803729184
sub-04,1.0,0.4404043,a,-4.722632727621595,-0.9328667606141284,1.7878630470958516,1st,1st,4th,-1.1958735351307377,-1.255032058739156,1.3554505572930526,0,-5.821319803729184
sub-01,0.0,0.4325038,f,-4.630595557879972,-1.50264159339517,-1.3180745367012725,1st,1st,1st,-1.217328000755635,-1.2252449397856893,-1.2514744014158337,0,-5.821319803729184
sub-19,0.0,0.386000399943441,f,-4.62641408259669,-4.562040943708338,-0.6833035824195353,1st,1st,1st,-1.188533742531678,-1.2343047440630983,-1.3139887258523006,0,-5.821319803729184
sub-13,0.0,0.675154800002929,a,-4.6016216020482865,-0.1948916144558425,-1.0044023494451753,1st,2nd,1st,-1.2492432313494752,-0.3052191826869085,-1.23506634577786,1,-4.147795926788698
sub-19,0.0,0.475469900062308,f,-4.571414050400116,-1.1326658121419604,0.5221070366871595,1st,1st,3rd,-1.188533742531678,-1.2343047440630983,0.3718381688319701,1,-4.147795926788698
sub-09,0.0,0.526614899979904,f,-4.560470318049221,-3.1389973275988803,1.426565450897366,1st,1st,4th,-1.092747288072189,-1.1527464244514374,1.277019940573856,1,-4.147795926788698
sub-17,0.0,0.416028799954802,a,-4.359981653403944,-0.5130616685407555,1.7304506722987922,1st,2nd,4th,-1.253112302331078,-0.3167196564338956,1.2613149261362109,1,-4.147795926788698
sub-01,0.0,0.425898,f,-4.289346040616016,-0.9417841015560636,-0.4524859291982424,1st,1st,2nd,-1.217328000755635,-1.2252449397856893,-0.3541615128715314,1,-4.147795926788698
sub-01,1.0,0.4636966,f,-4.250943884089149,0.7154591791517061,-1.731397604275841,1st,4th,1st,-1.217328000755635,1.224268426534567,-1.2514744014158337,1,-4.147795926788698
sub-04,1.0,0.4684794,a,-4.24292551784661,-0.6379445584878956,0.2598023260699283,1st,1st,3rd,-1.1958735351307377,-1.255032058739156,0.2873671103052985,1,-4.147795926788698
sub-01,1.0,0.5318373,f,-4.184852371341994,0.5875459934424084,-0.8287406937721092,1st,3rd,1st,-1.217328000755635,0.3160291409600362,-1.2514744014158337,1,-4.147795926788698
sub-04,0.0,0.4917162,a,-4.119406776316482,-1.0617644709009906,-0.1366765252478806,1st,1st,2nd,-1.1958735351307377,-1.255032058739156,-0.4084667903048427,1,-4.147795926788698
sub-04,1.0,0.4241212,a,-4.117432328693626,-1.2925176463000578,1.943914894963634,1st,1st,4th,-1.1958735351307377,-1.255032058739156,1.3554505572930526,1,-4.147795926788698
sub-09,1.0,0.492240900057368,a,-4.10254743363471,0.8613759425403015,-0.370762656970644,1st,4th,2nd,-1.092747288072189,1.152728877336815,-0.4745941420593808,1,-4.147795926788698
sub-04,1.0,0.6555263,a,-4.038487978486013,0.6357214223006543,-1.436516711157339,1st,4th,1st,-1.1958735351307377,1.231398571603478,-1.234350877293508,1,-4.147795926788698
sub-10,0.0,0.257285100058652,f,-4.033699044288341,0.2352150138961907,0.5670663711017859,1st,3rd,3rd,-1.2695805782505276,0.3031748084609505,0.386082405495864,1,-4.147795926788698
