probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,1.1956,3,4,1,1,1,1,1,sub-STSWD1118,0.2371270158481233,-1.32979098955922,-0.5191008996718123,3rd,1st,2nd,0.3259670163720128,-1.2421197703332845,-0.4728189960156195
1,0.96168,3,4,1,1,1,1,1,sub-STSWD1118,0.6180189616224608,1.9361453807363254,-0.48640299772427315,3rd,4th,2nd,0.3259670163720128,1.2748099060571954,-0.4728189960156195
0,1.1194,1,4,2,1,1,1,1,sub-STSWD1118,1.4193220268508517,0.716923485777149,-0.9187022234817418,4th,4th,1st,1.253025246608439,1.2748099060571954,-1.2622321844842572
1,0.97537,4,4,2,1,1,1,1,sub-STSWD1118,0.38812324326296394,0.3923832248946517,-0.6833282693756636,3rd,3rd,2nd,0.3259670163720128,0.3105383979579344,-0.4728189960156195
1,0.88334,4,4,1,1,1,1,1,sub-STSWD1118,1.042965350410062,2.0161401079872387,-0.35056675738210746,4th,4th,2nd,1.253025246608439,1.2748099060571954,-0.4728189960156195
0,1.3052,4,4,2,1,1,1,1,sub-STSWD1118,0.2921515733661716,1.0780468905467273,-0.5122798109996133,3rd,4th,2nd,0.3259670163720128,1.2748099060571954,-0.4728189960156195
1,1.2401,1,4,2,1,1,1,1,sub-STSWD1118,1.4747789555490518,0.41238526360455313,-0.3496337326997096,4th,3rd,2nd,1.253025246608439,0.3105383979579344,-0.4728189960156195
0,1.352,3,3,2,1,1,1,1,sub-STSWD1118,0.70591869473684,-0.08544495591013836,-0.42064066010317575,4th,2nd,2nd,1.253025246608439,-0.33829935276187795,-0.4728189960156195
1,1.2888,2,3,2,1,1,1,1,sub-STSWD1118,-0.4882329099932768,-1.6808310059959666,-0.14991280652505573,2nd,1st,2nd,-0.2688010068208659,-1.2421197703332845,-0.4728189960156195
1,0.65978,2,3,2,1,1,1,1,sub-STSWD1118,-1.6143611665905067,-1.5166968685668805,0.15122158814686132,1st,1st,3rd,-1.3050171765346334,-1.2421197703332845,0.4764288788929123
1,0.62576,2,3,2,1,1,1,1,sub-STSWD1118,-1.8725375733721497,0.40342970495794284,0.10270027839610228,1st,3rd,3rd,-1.3050171765346334,0.3105383979579344,0.4764288788929123
1,0.89466,1,3,1,1,1,1,1,sub-STSWD1118,0.5360644585047821,0.8930499326881752,0.392118628817978,3rd,4th,3rd,0.3259670163720128,1.2748099060571954,0.4764288788929123
