mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,summed_similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
mem,resp,1226,1,mem2.1.3.bmp,mem1.1.1.bmp,mem2.1.3.bmp,ACC034,"[0, -3, 3]","[-3, -3, -3]","[0, -3, 3]",match,1.3545027756320973,,-0.15604379483088252,-0.4166855527307886,-2.325157512427565,2nd,2nd,1st,-0.3885381377072149,-0.34924964105783285,-1.307025191339696
mem,resp,632,1,mem3.1.2.bmp,mem3.1.1.bmp,mem1.1.2.bmp,ACC034,"[3, -3, 0]","[3, -3, -3]","[-3, -3, 0]",non-match,0.7771525064424715,2,0.8916086055413769,0.22440297754380953,-2.6783554722407543,4th,3rd,1st,1.3043389599475863,0.27373464708669004,-1.307025191339696
mem,resp,1071,1,mem2.2.2.bmp,mem3.3.2.bmp,mem1.2.1.bmp,ACC034,"[0, 0, 0]","[3, 3, 0]","[-3, 0, -3]",non-match,0.8846449283495895,2,-0.329014347341227,0.8461941461543465,-2.84903287200302,2nd,4th,1st,-0.3885381377072149,1.2773613214167774,-1.307025191339696
mem,resp,889,1,mem3.3.3.bmp,mem1.1.3.bmp,mem3.3.1.bmp,ACC034,"[3, 3, 3]","[-3, -3, 3]","[3, 3, -3]",non-match,0.42264973081037427,1,-0.22771872428963763,1.9350177553959718,-2.792172802741083,2nd,4th,1st,-0.3885381377072149,1.2773613214167774,-1.307025191339696
mem,resp,1208,1,mem2.1.2.bmp,mem2.3.3.bmp,mem2.3.3.bmp,ACC034,"[0, -3, 0]","[0, 3, 3]","[0, 3, 3]",match,1.3545027756320973,,-0.5711126259680152,1.3985614172729577,-2.864232289566231,2nd,4th,1st,-0.3885381377072149,1.2773613214167774,-1.307025191339696
mem,resp,774,1,mem2.2.3.bmp,mem2.2.1.bmp,mem3.1.2.bmp,ACC034,"[0, 0, 3]","[0, 0, -3]","[3, -3, 0]",non-match,1.0,3,-0.6131450616657758,0.2124936947951518,-2.9805366471763763,2nd,3rd,1st,-0.3885381377072149,0.27373464708669004,-1.307025191339696
mem,resp,801,1,mem2.3.2.bmp,mem2.3.1.bmp,mem1.3.1.bmp,ACC034,"[0, 3, 0]","[0, 3, -3]","[-3, 3, -3]",non-match,1.3030765749413242,4,0.01873816609554082,0.5717773856456698,-2.856860223295969,3rd,4th,1st,0.31247977713683867,1.2773613214167774,-1.307025191339696
mem,resp,1039,1,mem1.3.2.bmp,mem3.2.1.bmp,mem1.3.2.bmp,ACC034,"[-3, 3, 0]","[3, 0, -3]","[-3, 3, 0]",match,1.2928932188134525,,-0.4023111432760805,-0.7198014377390626,-2.688293442563637,2nd,1st,1st,-0.3885381377072149,-1.2028022134452694,-1.307025191339696
mem,resp,866,1,mem3.3.1.bmp,mem2.1.3.bmp,mem1.1.1.bmp,ACC034,"[3, 3, -3]","[0, -3, 3]","[-3, -3, -3]",non-match,0.5380061947043713,1,0.16810252574977583,0.7706760884348868,-2.646938267757316,3rd,4th,1st,0.31247977713683867,1.2773613214167774,-1.307025191339696
mem,resp,831,1,mem1.3.3.bmp,mem1.2.2.bmp,mem1.2.2.bmp,ACC034,"[-3, 3, 3]","[-3, 0, 0]","[-3, 0, 0]",match,1.591751709536137,,-0.7141759321311578,0.18704579062681093,-2.1256436181185396,1st,3rd,1st,-1.229243363435063,0.27373464708669004,-1.307025191339696
mem,resp,1030,1,mem1.2.1.bmp,mem2.3.2.bmp,mem2.3.1.bmp,ACC034,"[-3, 0, -3]","[0, 3, 0]","[0, 3, -3]",non-match,1.3030765749413242,4,-1.0834237828658062,-0.6913858615280132,-2.170373363013631,1st,1st,1st,-1.229243363435063,-1.2028022134452694,-1.307025191339696
mem,resp,723,1,mem1.1.3.bmp,mem1.1.2.bmp,mem1.1.3.bmp,ACC034,"[-3, -3, 3]","[-3, -3, 0]","[-3, -3, 3]",match,1.7113248654051871,,0.4768847460124164,1.3336304961002488,-2.101133650245136,3rd,4th,1st,0.31247977713683867,1.2773613214167774,-1.307025191339696
mem,resp,911,1,mem3.3.2.bmp,mem3.2.2.bmp,mem3.2.2.bmp,ACC034,"[3, 3, 0]","[3, 0, 0]","[3, 0, 0]",match,1.7113248654051871,,-1.3708675372201735,1.7673006341880664,-2.2093709861170083,1st,4th,1st,-1.229243363435063,1.2773613214167774,-1.307025191339696
mem,resp,748,1,mem2.1.1.bmp,mem3.1.3.bmp,mem3.1.3.bmp,ACC034,"[0, -3, -3]","[3, -3, 3]","[3, -3, 3]",match,1.3545027756320973,,0.37954149474350896,2.1938990524965303,-1.9843955697309896,3rd,4th,1st,0.31247977713683867,1.2773613214167774,-1.307025191339696
mem,resp,634,1,mem1.3.1.bmp,mem1.3.2.bmp,mem1.3.1.bmp,ACC034,"[-3, 3, -3]","[-3, 3, 0]","[-3, 3, -3]",match,1.7113248654051871,,0.8674608787001894,0.20087214353622046,-1.9217610887172558,4th,3rd,1st,1.3043389599475863,0.27373464708669004,-1.307025191339696
mem,resp,707,0,mem1.1.1.bmp,mem3.2.3.bmp,mem2.1.3.bmp,ACC034,"[-3, -3, -3]","[3, 0, 3]","[0, -3, 3]",non-match,0.9462544851682343,3,-1.1991022659372208,-2.3060323206580637,-1.8495719753640358,1st,1st,1st,-1.229243363435063,-1.2028022134452694,-1.307025191339696
mem,resp,914,1,mem2.3.1.bmp,mem1.3.3.bmp,mem2.3.1.bmp,ACC034,"[0, 3, -3]","[-3, 3, 3]","[0, 3, -3]",match,1.3545027756320973,,-1.1460106054023471,-1.2383465451901154,-1.8236544071037357,1st,1st,1st,-1.229243363435063,-1.2028022134452694,-1.307025191339696
