mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
perc,resp,1795,1,1.3.3left.bmp,1.3.3right.bmp,,ACC026,"[-2, 2, 2]","[-2, 2, 2]",[],match,1.0,,-0.5928575384512386,-0.2803949580574946,-0.3289924148728883,2nd,2nd,2nd,-0.3565949619983757,-0.3190259278282245,-0.3608881493066015
perc,resp,1124,1,3.2.2left.bmp,3.2.2right.bmp,,ACC026,"[2, 0, 0]","[2, 0, 0]",[],match,1.0,,-1.2828821477124015,-0.45467162562156677,-0.21104009862790438,1st,2nd,2nd,-1.2686500760183241,-0.3190259278282245,-0.3608881493066015
perc,resp,1070,1,3.1.3left.bmp,1.3.2right.bmp,,ACC026,"[2, -2, 2]","[-2, 2, 0]",[],non-match,0.1339745962155613,1,1.5810847524759752,0.0944446238678963,-0.23347228952188837,4th,3rd,2nd,1.3039358516690727,0.3119934256344425,-0.3608881493066015
perc,resp,867,1,3.2.1left.bmp,2.3.3right.bmp,,ACC026,"[2, 0, -2]","[0, 2, 2]",[],non-match,0.29289321881345254,1,-0.42484704813465296,-0.9222268382254349,-0.553114412972554,2nd,1st,2nd,-0.3565949619983757,-1.2567155538844959,-0.3608881493066015
perc,resp,944,1,1.3.1left.bmp,1.3.1right.bmp,,ACC026,"[-2, 2, -2]","[-2, 2, -2]",[],match,1.0,,-1.436476546267703,0.05840825189882401,-0.28849208879398824,1st,3rd,2nd,-1.2686500760183241,0.3119934256344425,-0.3608881493066015
perc,resp,1049,0,2.1.2left.bmp,3.1.2right.bmp,,ACC026,"[0, -2, 0]","[2, -2, 0]",[],non-match,0.7113248654051871,4,-1.2640898113931438,0.7134166857026275,-0.2612497859292372,1st,4th,2nd,-1.2686500760183241,1.2636517204317879,-0.3608881493066015
perc,resp,998,1,2.2.3left.bmp,2.2.3right.bmp,,ACC026,"[0, 0, 2]","[0, 0, 2]",[],match,1.0,,0.5601887651323334,-0.11906285422912415,-0.5537322353992814,3rd,2nd,2nd,0.32081910613025566,-0.3190259278282245,-0.3608881493066015
perc,resp,1134,0,1.2.1left.bmp,1.2.1right.bmp,,ACC026,"[-2, 0, -2]","[-2, 0, -2]",[],match,1.0,,-1.0582677276511456,-0.4987311975770966,-0.3584838111294739,1st,2nd,2nd,-1.2686500760183241,-0.3190259278282245,-0.3608881493066015
perc,resp,1113,1,3.1.1left.bmp,3.1.1right.bmp,,ACC026,"[2, -2, -2]","[2, -2, -2]",[],match,1.0,,-1.3745970296401195,-1.5358060105030458,-0.34158060301575416,1st,1st,2nd,-1.2686500760183241,-1.2567155538844959,-0.3608881493066015
perc,resp,920,0,2.2.1left.bmp,1.1.2right.bmp,,ACC026,"[0, 0, -2]","[-2, -2, 0]",[],non-match,0.5,3,-0.38026097467223663,-0.07429663426053384,-0.22368620506079603,2nd,2nd,2nd,-0.3565949619983757,-0.3190259278282245,-0.3608881493066015
perc,resp,897,0,2.1.1left.bmp,1.1.1right.bmp,,ACC026,"[0, -2, -2]","[-2, -2, -2]",[],non-match,0.7113248654051871,4,-0.1595287053103463,1.2872171503478653,-0.05669839997726515,2nd,4th,2nd,-0.3565949619983757,1.2636517204317879,-0.3608881493066015
perc,resp,1720,1,2.3.3left.bmp,2.3.3right.bmp,,ACC026,"[0, 2, 2]","[0, 2, 2]",[],match,1.0,,-1.3405095116981742,-0.0847162753931536,-0.28219231578898074,1st,2nd,2nd,-1.2686500760183241,-0.3190259278282245,-0.3608881493066015
perc,resp,1884,0,1.1.3left.bmp,1.3.1right.bmp,,ACC026,"[-2, -2, 2]","[-2, 2, -2]",[],non-match,0.18350341907227385,1,-0.30866124060526207,-0.4086885621027618,-0.08722528024785496,2nd,2nd,2nd,-0.3565949619983757,-0.3190259278282245,-0.3608881493066015
perc,resp,1506,1,1.1.2left.bmp,1.1.2right.bmp,,ACC026,"[-2, -2, 0]","[-2, -2, 0]",[],match,1.0,,-0.7651290978352572,0.4512773245823326,-0.13637578710558082,1st,3rd,2nd,-1.2686500760183241,0.3119934256344425,-0.3608881493066015
perc,resp,1307,1,3.1.2left.bmp,3.1.2right.bmp,,ACC026,"[2, -2, 0]","[2, -2, 0]",[],match,1.0,,-1.032120110541643,-0.4832472456842093,0.059807861427704,1st,2nd,3rd,-1.2686500760183241,-0.3190259278282245,0.29804768694965894
perc,resp,804,1,1.2.2left.bmp,2.3.1right.bmp,,ACC026,"[-2, 0, 0]","[0, 2, -2]",[],non-match,0.5,3,-1.0411826598297385,-0.2804063767330765,0.18369196300438217,1st,2nd,3rd,-1.2686500760183241,-0.3190259278282245,0.29804768694965894
perc,resp,951,0,3.2.3left.bmp,3.2.3right.bmp,,ACC026,"[2, 0, 2]","[2, 0, 2]",[],match,1.0,,-1.0151756447520164,0.8897790128036362,0.25147941602240315,1st,4th,3rd,-1.2686500760183241,1.2636517204317879,0.29804768694965894
perc,resp,1170,0,3.3.3left.bmp,1.3.3right.bmp,,ACC026,"[2, 2, 2]","[-2, 2, 2]",[],non-match,0.42264973081037416,2,-0.8634612959492663,1.5661179312511961,0.30025175244587127,1st,4th,3rd,-1.2686500760183241,1.2636517204317879,0.29804768694965894
perc,resp,1246,1,1.1.1left.bmp,3.1.2right.bmp,,ACC026,"[-2, -2, -2]","[2, -2, 0]",[],non-match,0.3545027756320971,2,-1.9359055185212306,-2.047171762575411,0.24373950304779207,1st,1st,3rd,-1.2686500760183241,-1.2567155538844959,0.29804768694965894
perc,resp,1427,1,1.3.2left.bmp,1.3.2right.bmp,,ACC026,"[-2, 2, 0]","[-2, 2, 0]",[],match,1.0,,-1.176588638163187,-0.7360581468396993,0.24563559578952499,1st,1st,3rd,-1.2686500760183241,-1.2567155538844959,0.29804768694965894
perc,resp,1126,1,3.3.1left.bmp,3.3.1right.bmp,,ACC026,"[2, 2, -2]","[2, 2, -2]",[],match,1.0,,0.2244893312883779,0.7919334353369208,0.27288029471722836,3rd,4th,3rd,0.32081910613025566,1.2636517204317879,0.29804768694965894
perc,resp,843,1,3.3.2left.bmp,3.3.2right.bmp,,ACC026,"[2, 2, 0]","[2, 2, 0]",[],match,1.0,,1.0415899946570326,0.2963962883741609,0.3679393757229148,4th,3rd,3rd,1.3039358516690727,0.3119934256344425,0.29804768694965894
perc,resp,1019,1,2.3.2left.bmp,1.1.2right.bmp,,ACC026,"[0, 2, 0]","[-2, -2, 0]",[],non-match,0.3545027756320971,2,1.5188613910758564,0.40658491311027073,0.24292269214730428,4th,3rd,3rd,1.3039358516690727,0.3119934256344425,0.29804768694965894
