,v_pam_bin
0,0.00336562765304085
1,-0.015153753197577245
2,0.01148112860638853
3,0.007069488981531503
4,-0.019690785631128402
5,-0.022309228804397823
6,-0.03191084209338771
7,-0.040415411036772
8,-0.05060371806107733
9,-0.07882277820443338
10,-0.0739328074767727
11,-0.07233552752628211
12,-0.06939199919239152
13,-0.05552259068123168
14,-0.05831393885107276
15,-0.06308349029082297
16,-0.06337542583839417
17,-0.06448395515092878
18,-0.06881674187578528
19,-0.07635151855846184
20,-0.07309256151705494
21,-0.07299435328866498
22,-0.07037978817751475
23,-0.06894138561012014
24,-0.06874346050933515
25,-0.06767244040229937
26,-0.06396541210683858
27,-0.05574590262584403
28,-0.05800300709823836
29,-0.07167437467544228
30,-0.06550401398097459
31,-0.05625899121124093
32,-0.04910324808385558
33,-0.048763565619813265
34,-0.02375339511613323
35,-0.022669718212478526
36,-0.02841569799505489
37,-0.043777253442164904
38,-0.04688914172699937
39,-0.05027418032041763
40,-0.04607775962667159
41,-0.05514488400400333
42,-0.04926833070547881
43,-0.04572086056848932
44,-0.05539682455202238
45,-0.05881808712973624
46,-0.05727698271361751
47,-0.06294667915916873
48,-0.0597687914395051
49,-0.07017809232135094
50,-0.06751157776244512
51,-0.06265205860180949
52,-0.06782886099193887
53,-0.06909018332195425
54,-0.07379521184957791
55,-0.07325201732577542
56,-0.07407804136523971
57,-0.07273366539971311
58,-0.07589770492115473
59,-0.07819293734810617
60,-0.08245078517500966
61,-0.08840791314561963
62,-0.08227120122843586
63,-0.08246734926599616
64,-0.07331598367911212
65,-0.07343436597219924
66,-0.06706632071602228
67,-0.0642591449185731
68,-0.07025923539594331
69,-0.07985168360547261
70,-0.07813112731473008
71,-0.0680099214648548
72,-0.06751055658231676
73,-0.0675259643365947
74,-0.06938743998317214
75,-0.06156260982482928
76,-0.05431378250571092
77,-0.05717503574685189
78,-0.055212648066205634
79,-0.056419755327108675
80,-0.07180731598952066
81,-0.0657767257635831
82,-0.07556709045261507
83,-0.08140213239975452
84,-0.07371103170116038
85,-0.06924480207616426
86,-0.06671280165385637
87,-0.05416948676587567
88,-0.05868667712092342
89,-0.057039260212922556
90,-0.05912490066406072
91,-0.07068600005907284
92,-0.07091736273226054
93,-0.07108275319193208
94,-0.06948055768991108
95,-0.0631898660532409
96,-0.06147542941481718
97,-0.05167379241097449
98,-0.0552625319788363
99,-0.048666075711762076
100,-0.05479913146003343
101,-0.04613399234668834
102,-0.04905392020196061
103,-0.05032250920773021
104,-0.05482296729896515
105,-0.04948771465095674
106,-0.047567758066998575
107,-0.05263837341282372
108,-0.05969803976428005
109,-0.05631248032600997
110,-0.05311894853901762
111,-0.057176905314442535
112,-0.05658187468564725
113,-0.04944771011471381
114,-0.053117561208698344
115,-0.05541933929218216
116,-0.04648513961970373
117,-0.03724923937492423
118,-0.0688600212770231
119,-0.05040088795601316
120,-0.06825515683682094
121,-0.06723751545296518
122,-0.07104723015255565
123,-0.0673607362580897
124,-0.07318212740856626
125,-0.08900335355921236
126,-0.10717022185295942
127,-0.14092161851922966
128,-0.1496667713760622
129,-0.13151572889151325
130,-0.0293881059529707
131,-0.06381663499531876
132,-0.03781464235499736
133,-0.058254796264669756
134,-0.0657987128138313
135,-0.06000494343943884
136,-0.08723988062250132
137,-0.06262404731636172
138,-0.054769389345874026
139,-0.029154899749469713
140,-0.02071113834341378
141,-0.016111003964874426
142,0.004302293793508488
143,-0.020524464439660012
144,-0.0029866119473154276
145,0.013246505524414065
146,0.0015463958189477316
147,-0.0065349387306889275
148,-0.03143014618354822
149,-0.04865380434075506
150,-0.02911098457968659
151,-0.04941547920662678
152,-0.048051602614179956
153,-0.0667551181332243
154,-0.06514618897693639
155,-0.07116843598871059
156,-0.0936884362648012
157,-0.09783904936637663
158,-0.09921642959838256
159,-0.09697946369099765
160,-0.10502972716577717
161,-0.10283576615138253
162,-0.11270162115733134
163,-0.11244349925862691
164,-0.10982910957866747
165,-0.10965731074240223
166,-0.11721524057468737
167,-0.10812439882929936
168,-0.10181204486517204
169,-0.09592464650351401
170,-0.09165329875836765
171,-0.0797777574508393
172,-0.07780235754436697
173,-0.07500315314071049
174,-0.06446277638692637
175,-0.04722704853958751
176,-0.039536538554829484
177,-0.0453706615621654
178,-0.042140792947878196
179,-0.03822199126512828
180,-0.03286270772221422
181,-0.03591275266393586
182,-0.029004360637694914
183,-0.030765734693074868
184,-0.03865280391502046
185,-0.03987015801607349
186,-0.03792489719436204
187,-0.04136259558738408
188,-0.04618383209457451
189,-0.0513234537875474
190,-0.05030630628010805
191,-0.04965149759853018
192,-0.05300517188695194
193,-0.057164958088344334
194,-0.06326488800213839
195,-0.06136837600406732
196,-0.0632106645389407
197,-0.05526984068224357
198,-0.057310479212232195
199,-0.0604207552398838
200,-0.06504476285843555
201,-0.06355568153075003
202,-0.05360617210092754
203,-0.0505980041031827
204,-0.05097614294497086
205,-0.041165024595346246
206,-0.043013628150410065
207,-0.04833610006798071
208,-0.04851441726729584
209,-0.042738723393849175
210,-0.04535799358559485
211,-0.04770281451617754
