,v_pams
0,0.054894489005603085
1,0.07932252468894624
2,0.07801611219020194
3,0.04562919198724044
4,0.06330962637634734
5,0.07792873889378431
6,0.1241996991372529
7,0.09512352738414019
8,0.06098795049682685
9,0.04978749341798755
10,0.018740942752989508
11,0.0040096203287922055
12,-0.005222441111534738
13,0.0016530931329682905
14,-0.018382885340509837
15,-0.03821175301513571
16,-0.04477389411173694
17,-0.028737498940317963
18,0.00442583170649901
19,-0.008943346801391427
20,-0.01806479915649646
21,-0.008400229091913082
22,-0.01719180094035655
23,-0.00833316486284395
24,-0.01547828809974648
25,-0.014574339646030512
26,-0.01993193591543385
27,-0.02006583078439372
28,-0.021734323202680247
29,-0.01601433615776351
30,-0.02393812812047955
31,-0.009728193237072287
32,-0.012072112278159247
33,-0.015264957318262794
34,-0.00972392484080121
35,-0.0010716472869385964
36,0.008134581403860967
37,0.005765724453446135
38,0.0007288014955219775
39,-0.0012893751889980392
40,0.00102540056494883
41,-0.0026489848646767374
42,-0.0023281644335244878
43,-0.009478482860027183
44,-0.0057354513375417575
45,-0.023184294402236662
46,-0.028399485734109435
47,-0.014674947414360678
48,-0.022067467845941914
49,-0.024979517985670833
50,-0.003715158179161328
51,-0.0018539271211949725
52,-0.02543359467464784
53,-0.031654199989066274
54,-0.005866043082122038
55,0.001028386666367901
56,-0.008168764758097677
57,-0.021266347469316108
58,-0.042505348794150494
59,0.01488288154164314
60,0.03924394730244921
61,-0.029398960041470037
62,-0.025856450672638722
63,-0.057300424755765106
64,-0.04692061200473999
65,-0.07497496432814983
66,-0.027279761197076747
67,-0.01746480468110767
68,0.04305253871422111
69,-0.011622209086513775
70,0.006563853723685961
71,0.005894282948997187
72,-0.005350016408470268
73,-0.01768393744332147
74,-0.010237692917229247
75,-0.014794173495118633
76,-0.011583492291019433
77,-0.041007598660333114
78,-0.05348198411393256
79,-0.042632238910607606
80,-0.06054394951065789
81,-0.07337074383711581
82,-0.06782164925046821
83,-0.06875403249140073
84,-0.07182011873378737
85,-0.07395653422658124
86,-0.07771140828992543
87,-0.07627937254509463
88,-0.07824053712852815
89,-0.07526788796707337
90,-0.07488707663123617
91,-0.07537490537547781
92,-0.07844912636220558
93,-0.08097775459173179
94,-0.08298725348016463
95,-0.08039360602460208
96,-0.08556184849759291
97,-0.08353810058314434
98,-0.08458625681749336
99,-0.08166971686355882
100,-0.08342343479595153
101,-0.08598876541849915
102,-0.08094349317083048
103,-0.08494207594036302
104,-0.08123650077440885
105,-0.07986860612613689
106,-0.08189045308951806
107,-0.09734898389550542
108,-0.08959648435172998
109,-0.09551066230194828
110,-0.09495105082248619
111,-0.10375454239782
112,-0.1140637840582773
113,-0.12472480686582685
114,-0.12533036517193077
115,-0.12687151426280505
116,-0.11544935180562738
117,-0.1228748852098081
118,-0.12278843331394598
119,-0.12763388421307606
120,-0.11964174744170877
121,-0.12219476940021634
122,-0.11556037436078842
123,-0.1071839269603215
124,-0.10622815507898771
125,-0.10924991797167836
126,-0.10609823523036699
127,-0.0950908406171684
128,-0.09592978480524218
129,-0.08822441513791993
130,-0.08329715073668334
131,-0.09703619616440681
132,-0.13417255602749084
133,-0.12860523224414927
134,-0.13657132712816836
135,-0.1303134154889708
136,-0.11087814952035266
137,-0.10490355082356034
138,-0.1330459979585174
139,-0.08588462674549535
140,-0.07835311339501917
141,-0.08748697722278594
142,-0.08117633665255405
143,-0.06270887595106205
144,-0.06925696076506721
145,-0.0943721708300104
146,-0.10320727964273595
147,-0.08017665078724887
148,-0.044597724855159906
149,-0.0531953958802045
150,-0.05514381332036893
151,-0.05295820763672157
152,-0.03608667992444057
153,-0.026822217677440762
154,-0.03010922551190898
155,-0.03689458935573876
156,-0.03365475652014641
157,-0.03228096747525208
158,-0.033437236707044654
159,-0.03576747182891531
160,-0.03572322999271109
161,-0.0335096179614023
162,-0.03762125157498885
163,-0.035794927977993246
164,-0.03807818760364658
165,-0.03579145175365221
166,-0.028562578819731517
167,-0.03685733703024713
168,-0.034101567714816684
169,-0.03038263948977646
170,-0.027099651820848968
171,-0.02923171389796773
172,-0.02683587176234776
173,-0.022437135765840107
174,-0.022063957833160504
175,-0.018813595294742684
176,-0.019179399655335508
177,-0.02076995110419583
178,-0.01684457978895365
179,-0.019076618524310043
180,-0.018893643479564397
181,-0.02927195352347258
182,-0.030871367721666803
183,-0.032500751559179725
184,-0.030592593730697355
185,-0.032544547388075676
186,-0.034526925802028305
187,-0.032959957363587124
188,-0.033708882692264505
189,-0.027722737425622423
190,-0.024940038585838337
191,-0.025935320955521837
192,-0.019380607304771716
193,-0.022066092170670022
194,-0.024050818685525884
195,-0.022735286827941303
196,-0.026242845757871454
197,-0.013320667880197987
198,-0.008593395267993173
199,-0.006362955756691361
200,-0.0076654207411041165
201,-0.009067778978740457
202,-0.010254207687080118
203,-0.00849034811093863
204,-0.01612870186454208
205,-0.017237922391907624
206,-0.01863593080350205
207,-0.020712723163328672
208,-0.02032592229446168
209,-0.021502854139651497
210,-0.024922686686841923
211,-0.026352766519559406
212,-0.025205782856738638
213,-0.017017615267641863
214,-0.020734670041947234
215,-0.020387607618114832
216,-0.022968282096491224
217,-0.011667268405636
218,-0.020274724192961176
219,-0.01656230144149852
220,-0.022281953702524896
221,-0.012112306926758663
222,-0.009677326766558044
223,-0.011304861622327323
224,-0.008598543647807086
225,-0.0035729631089608392
226,-0.008315986301432175
227,-0.009468944965304106
228,-0.010234881453843615
229,-0.004968396042946123
230,-0.0066417506890239265
231,-0.004399042668042674
232,0.0025827107264354762
233,0.006929455825237527
234,0.006985811611996053
235,0.007426077402668683
236,0.007084366114290726
237,0.007505091601801903
238,0.006923873131651301
239,0.007471762781358893
240,0.005061736640080581
241,0.00775902463736412
242,0.007785804345166978
243,0.00918087606652727
244,0.0107279363653454
245,0.010703525191965093
246,0.010730671126397317
247,0.010581104341632808
248,0.010366120045110365
249,0.010397212215353273
250,0.010110886223931961
251,0.010022770672653806
252,0.010027660346898526
253,0.009918061027878539
254,0.010076370725869402
255,0.010205287681779307
256,0.009943378054016924
257,0.010012029199712879
258,0.010167730786519977
259,0.010692116566217342
260,0.010938950133650314
261,0.011322848521776329
262,0.011327422038973117
263,0.011396728643958713
264,0.011597810273549556
265,0.011521292809605331
266,0.011193454288022658
267,0.011169647797006162
268,0.01112400620693873
269,0.011256123577766612
270,0.011582271507705
271,0.011310233036343657
272,0.011337702119202146
273,0.011330789583720325
274,0.011180187006390912
275,0.010600466530812426
276,0.011226684918683585
277,0.011700437930303039
278,0.012364922541925408
279,0.012771917226908779
280,0.012337325840506189
281,0.012478472547121216
282,0.013077073947342166
283,0.01335523167516361
284,0.013338088631595102
285,0.01335356492002171
286,0.012810021024050752
287,0.012756600518959289
288,0.012442725340622612
289,0.01206190477517951
290,0.012227430646625464
291,0.012448608609272317
292,0.012426956822291897
293,0.01215204235263272
294,0.012146539572637238
295,0.011983930805482795
296,0.011429537332065684
297,0.011881360159374365
298,0.011383651078667447
299,0.010914812898643947
300,0.011941474114685295
301,0.012422186331652986
302,0.012646822391296986
303,0.011164239606726651
304,0.011144856470490232
305,0.011468619987566596
306,0.011286256545596729
307,0.01031126600090973
308,0.010326347057304185
309,0.009981691104466521
310,0.010351523103288487
311,0.010234806211889415
312,0.009888119008781742
313,0.00978286044403837
314,0.009727672998617062
315,0.009617843234524833
316,0.009876966319969397
317,0.01008534418318142
318,0.009952605692519215
319,0.00955720731142612
320,0.009724971340724697
321,0.009892333422354217
322,0.010093914895656187
323,0.009857123883648983
324,0.009481889566325506
325,0.010132345237733252
326,0.01054452663853829
327,0.011290362529109308
328,0.011215502335681228
329,0.011180795192371544
330,0.010900846996098987
331,0.010918273971823295
332,0.011180965334031123
333,0.014508289598586195
334,0.01819399858110568
335,0.0153229586567938
336,0.014757244761038147
337,0.017213803672477646
338,0.016935288021224012
339,0.0182118773241663
340,0.011740350243687069
341,0.012916802373717251
342,0.010178975383107303
343,0.0030133192981275764
344,-0.003541380920946881
345,-0.00019677400256890454
346,0.002255408716878471
347,-0.0006233380734089303
348,-0.008692814274313248
349,-0.000450133928848347
350,-0.010716151686886975
351,-0.005829988615558198
352,-0.019360757954558265
353,-0.016094885074128793
354,-0.020176887519355462
355,-0.02352131767755229
356,-0.01696550139318152
357,-0.01381727187142223
358,-0.020226218837128343
359,-0.023856285651885634
360,-0.02523040071099106
361,-0.026780830369877072
362,-0.025374531808339783
363,-0.025387766841772925
364,-0.026425965565965034
365,-0.0257876678546677
366,-0.024496971029631963
367,-0.024999251151712833
368,-0.028641727571390767
369,-0.026648959624620834
370,-0.02737623335370132
371,-0.026991145942708388
372,-0.026032304384699657
373,-0.02520229173488158
374,-0.02424311593696357
375,-0.025503685892811944
376,-0.02566303091602152
377,-0.02333070421754226
378,-0.02505756386438036
379,-0.023107218452693295
380,-0.02167433921193218
381,-0.02075899410406966
382,-0.02127825619219062
383,-0.02275288279307232
384,-0.023290976195364084
385,-0.02453003714761527
386,-0.024802463409837088
387,-0.0239248130447126
388,-0.024337311535611115
389,-0.023070354010919315
390,-0.02426130188270031
391,-0.023859921407826376
392,-0.023893105585201597
393,-0.024475841641825834
394,-0.024733800251165408
395,-0.02605996762239656
396,-0.024968004286666873
397,-0.02333989384195562
398,-0.0242333430012102
399,-0.02288945836692969
400,-0.022862879482420082
401,-0.02328797945606594
402,-0.02319227446828054
403,-0.020981070666600373
404,-0.02102188889014484
405,-0.022386602841248604
406,-0.021874201037424133
407,-0.02243391051635825
408,-0.021459957203835964
409,-0.02180508865192425
410,-0.024471412983720353
411,-0.023151676627978103
412,-0.023015021884796
413,-0.02159942019838452
414,-0.02081087810135794
415,-0.01985990643199126
416,-0.021370439527044108
417,-0.02111520667426572
418,-0.023864238466986192
419,-0.0248156743089317
420,-0.03116022379780293
421,-0.02884147186624195
422,-0.024368199789576647
423,-0.022482510422121006
424,-0.023941024572595317
425,-0.024438973454665166
426,-0.02804099667525289
427,-0.02510596656209956
428,-0.025496199408254056
429,-0.023018312503427875
430,-0.025499392976667156
431,-0.024391525644341407
432,-0.004539215216995502
433,-0.0012585453562477965
434,-0.013439435877554945
435,-0.011551002587509171
436,0.011195300608668727
437,0.028834875370180865
438,0.003208136874941683
439,0.06028827691570095
440,0.04739077912886487
441,0.05828834070906916
442,0.07497705063899134
443,0.10683538703192882
444,0.10071359484635416
445,0.09164575663254244
446,0.10671020962808964
447,0.08877758392779189
448,0.11365907781757958
449,0.14042519692715957
450,0.10915980970639252
451,0.13049198080010363
452,0.11238245005545934
453,0.12282632370980764
454,0.14219773476740988
455,0.1351116563263659
456,0.12585467018529886
457,0.12250436502877654
458,0.12354375320812205
459,0.1209768349726263
460,0.13767206229020063
461,0.1332688173364906
462,0.11303870229122966
463,0.11750724222372637
464,0.1265160817374945
465,0.13291540144821615
466,0.13550929120076197
467,0.12806044858336282
468,0.10838822710312555
469,0.09232627153900422
470,0.08577567207188039
471,0.0969573159025106
472,0.0955456369561824
473,0.10428854585914293
474,0.11435044510723853
475,0.11070355182960546
476,0.11357957908549217
477,0.11071718750702068
478,0.10710770094322929
479,0.09034339181258857
480,0.07563437356971207
481,0.07138356422523279
482,0.0608981100030263
483,0.049091981409522145
484,0.07659672542507527
485,0.07607763815995836
486,0.0684576537855924
487,0.06028603237500028
488,0.056893686519660314
489,0.06229025326259093
490,0.06533336456033982
491,0.06584580525810932
492,0.06560500290405923
493,0.07639881335852525
494,0.10119208404365113
495,0.07243905289461153
496,0.08820041898435077
497,0.07778297272201089
498,0.07735756862139069
499,0.06789611003691176
500,0.06715421535290805
501,0.07320451061083443
502,0.08687009122915504
503,0.0890385447366089
504,0.07749632641387351
505,0.07432883346608192
506,0.07775006146076087
507,0.08502592569200056
508,0.10693709968080393
509,0.11460896110558705
510,0.10626716796005782
511,0.09874090358068896
512,0.0906986596950562
513,0.09319734886902775
514,0.09963051466978398
515,0.0974867100143801
516,0.08164122742125161
517,0.08648066730045724
518,0.03981444578070562
519,0.07059928065704005
520,0.10824631465792753
521,0.159424331134342
522,0.14493167759657213
523,0.11161937425783441
524,0.1881571612510285
525,0.09169526074785134
526,0.11345195435131807
527,0.11265714151253645
528,0.025455637153097108
529,0.10639854624360678
530,0.1052788729610605
531,0.06768578792537462
532,0.07426038005909576
533,0.08543977558682689
534,0.0179524169373018
535,0.028557072786306106
536,-0.010195047078765498
537,0.041547684246890926
538,0.049937307344026974
539,0.01611029882330215
540,0.014183594773368486
541,0.036061721403517405
542,0.036891521445703415
543,0.04577946958869239
544,0.028809655513096447
545,0.05319625730515793
546,0.04470776839041251
547,0.004519828519569752
548,0.0228801311069268
549,0.0581988445525871
550,0.04753128791421366
551,0.035191436768569034
552,0.054946928202147215
553,0.04793602492085016
554,0.065993822406156
555,0.08326839400693986
556,0.09739537619299964
557,0.09054791093839706
558,0.06619912557674808
559,0.07457840474980126
560,0.10576969978154184
561,0.062457928540650444
562,0.08971714590914409
563,0.08828709817663927
564,-0.023602466834401405
565,0.02734650743815426
566,0.03981309240567503
567,0.027843235870760756
568,0.059552382363607645
569,0.02758395580804972
570,-0.01653890964099212
571,-0.052045743911565336
572,0.03974996464196419
573,0.028228677082123912
574,0.017531745757443984
575,0.05416122844811117
576,0.10322060717409275
577,0.11562666099917854
578,0.12080388568256537
579,0.11796190296077849
580,0.11916815710116953
581,0.10910455502048537
582,0.20980554451631783
583,0.07366351190026166
584,0.045047845832542587
585,0.06168809323955166
586,0.05701849993385505
587,0.12485664003531603
588,0.07632217835755464
589,0.006992231390580181
590,0.04844738358639457
591,0.04093576776476731
592,0.05161754221283969
593,0.05661252862372142
594,0.06581827621899283
595,0.08792797459819808
596,0.04497870084652346
597,0.0558852999018355
598,0.05867797276521537
599,0.031473882945976916
600,0.0378680306951178
601,0.03861071749334616
602,0.058043094741617896
603,0.07778368292989964
604,0.07016034667875881
605,0.10642655556558536
606,0.06507040770991471
607,0.06094363278346739
608,0.05510951100514326
609,0.08127468486144965
610,0.08918800449484282
611,0.045505588926971534
612,0.0670312313137792
613,0.0063370942199533365
614,0.04314147221841292
615,0.010448721369248532
616,0.022379134389924848
617,0.020633556919970656
618,0.014291905343174954
619,0.03543355086816225
620,0.039072808693365824
621,0.03569384869269088
622,0.0318670241043741
623,0.049495240280096275
624,0.05334629603669182
625,0.04639173411969381
626,0.0495547141165534
627,0.05529091237351814
628,0.05511257012004372
629,0.046356298907969926
630,0.04737155582391425
631,0.061329615125616896
632,0.05742383812500787
633,0.05317493750471236
634,0.0342001637459502
635,0.026672592749792286
636,0.023509505030987133
637,0.011778289921934342
638,0.08888754287976022
639,0.07376700709649654
640,0.06233011990614584
641,0.09167882608504782
642,0.0691103588150405
643,0.08568723017981526
644,0.09191974026478153
645,0.09321187775852537
646,0.12229703891985587
647,0.11789106573802087
648,0.11748695599117047
649,0.10229329600536563
650,0.09892855987641017
651,0.10104277024031695
652,0.09656764824945627
653,0.08702213171935164
654,0.08728340579486166
655,0.08746551623934572
656,0.099595688762871
657,0.09714375459243092
658,0.10226744640092512
659,0.10716211648079214
660,0.0997067937363776
661,0.08305707789339187
662,0.08365657941376432
663,0.04532451283736692
664,0.061837390633321665
665,0.06825754785554206
666,0.07095805870392115
667,0.08411872546561465
668,0.08193216899460472
669,0.08198411630741852
670,0.09360089242066796
671,0.10093379288421549
672,0.12595238852337862
673,0.1146167842584221
674,0.11701416268534917
675,0.11725604596705276
676,0.12872453748529397
677,0.10391083861369717
678,0.09918828510813028
679,0.1312438870491907
680,0.08113578067675116
681,0.08784340447956149
682,0.07261811667247178
683,0.07789484522341325
684,0.0797042096105007
685,0.09191280328380727
686,0.060679475271799316
687,0.07840830339893544
688,0.05631583959847114
689,0.10165617002816667
690,0.12324817134933687
691,0.14844164450685826
692,0.1564205915682407
693,0.15178294424105213
694,0.11305134448984668
695,0.13955285519105745
696,0.17393609456844045
697,0.16468839120461215
698,0.1439028892210905
699,0.20261472123163382
700,0.15303632371592385
701,0.07440208913810681
702,0.003411062367699544
703,0.05068493447167985
704,0.100957658944995
705,0.06340078951934758
706,0.09000194513351975
707,0.06650054799071214
708,0.07251927437611838
709,0.07503578809308134
710,0.09126598050364092
711,0.07076053687621299
712,0.09328891005656773
713,0.08139598484755117
714,0.08083950303665484
715,0.09279437903940141
716,0.11581581263797867
717,0.14384289843374032
718,0.08891472738266007
719,0.12000637047501608
720,0.1559074280609256
721,0.11919272475431993
722,0.12033903978423219
723,0.05197983350743838
724,0.025810908977917435
725,0.03250872367498443
726,0.07217852641831328
727,0.11589434494407969
728,0.1397045596166598
729,0.11931828206350621
730,0.10320561558583867
731,0.03684798116924714
732,0.07451967449131278
733,0.07354897700075082
734,0.07366003294117905
735,0.12395314071793179
736,0.106252329706936
737,0.07653382437357566
738,0.08052606882606426
739,0.055333188217015244
740,0.05812438667547795
741,0.06923917899728932
742,0.09605907435380079
743,0.14111206382425415
744,0.11178804264072895
745,0.06839313858674441
746,0.09111847284925582
747,0.09034586372501983
748,0.09107416543133098
749,0.06750783486065043
750,0.042763278553025925
751,0.03658730653057217
752,0.016402830645439435
753,-0.013822121821312146
754,0.017075888925683423
755,0.01120063773213525
756,0.022708607295832087
757,0.02273870499395901
758,0.012923549384562973
759,0.009563609648871754
760,0.014845977970474359
761,-0.017514873620172774
762,-0.019434116103778702
763,0.011901092778323331
764,0.049262158261722755
765,0.0675740553165097
766,-0.0047106071449077025
767,-0.017700238192861942
768,-0.04734689505520269
769,-0.03326619791423686
770,-0.03474804164459681
771,-0.0327454473983194
772,-0.04101113707418442
773,-0.07344957076971478
774,-0.050525429992395746
775,-0.04294085222129268
776,-0.04692149756440036
777,-0.07436050883832132
778,-0.053489407433331006
779,-0.05242959827220944
780,-0.02239126525657692
781,0.01017159177870041
782,-0.003741530844009348
783,-0.03158680585157271
784,-0.017971917087425935
785,-0.03922323619250129
786,-0.05852539023496682
787,-0.066414685467381
788,-0.048091460129753856
789,-0.06052994718529334
790,-0.07701402612368016
791,-0.05937940391160339
792,-0.0851938042199106
793,-0.02503776844785039
794,-0.004271196033517163
795,-0.04156282699982221
796,-0.05934228055002898
797,-0.0611381925919329
798,-0.021526324202111632
799,-0.029019143157318086
800,-0.03143497941333625
801,-0.021264630789850136
802,0.003623689793658875
803,0.027352238699034484
804,0.014528944873710455
805,0.014607839013043985
806,0.004273106804079392
807,-0.001272552517257694
808,0.0027534217428301032
809,0.0036840828873328296
810,0.0004156663677630369
811,-0.01151476729499428
812,-0.012974393685678936
813,-0.006912631803709926
814,-0.005948449925829251
815,-0.012489351360422687
816,0.0007267029846718944
817,-0.012220392952177132
