probe_accuracy,probe_rt,probe_attribute,cue_dimensionality,probe_leftrightwin,cue_color,cue_direction,cue_size,cue_luminance,subj_idx,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
1,1.1956,3,4,1,1,1,1,1,sub-STSWD1118,0.7859305516580614,1.1730217136848549,0.669263569138058,4th,4th,3rd,1.2827014828731287,1.3134158935811728,0.5133179356762894
1,0.96168,3,4,1,1,1,1,1,sub-STSWD1118,-1.3177155264167402,0.8577520822570215,0.7245827592644433,1st,4th,3rd,-1.158573432066193,1.3134158935811728,0.5133179356762894
0,1.1194,1,4,2,1,1,1,1,sub-STSWD1118,0.2827286467789653,0.04304403358930823,0.38206144674553166,3rd,3rd,3rd,0.2391385188418523,0.2809105320860467,0.5133179356762894
1,0.97537,4,4,2,1,1,1,1,sub-STSWD1118,-0.6765421411611227,-0.6781630965615726,0.7776270304144731,1st,1st,3rd,-1.158573432066193,-1.2364997312291153,0.5133179356762894
1,0.88334,4,4,1,1,1,1,1,sub-STSWD1118,0.3319188289404366,-0.6511659492142632,1.9969482610001386,3rd,2nd,4th,0.2391385188418523,-0.35336779710340577,1.1832556022478808
0,1.3052,4,4,2,1,1,1,1,sub-STSWD1118,-0.4187085679742045,1.943239010951769,1.8685085639811687,2nd,4th,4th,-0.359470720143362,1.3134158935811728,1.1832556022478808
1,1.2401,1,4,2,1,1,1,1,sub-STSWD1118,0.050530036851545015,0.46752056925082386,2.008611496555391,3rd,3rd,4th,0.2391385188418523,0.2809105320860467,1.1832556022478808
0,1.352,3,3,2,1,1,1,1,sub-STSWD1118,-1.3884625005420834,-1.8685969249542824,2.2159944936710754,1st,1st,4th,-1.158573432066193,-1.2364997312291153,1.1832556022478808
1,1.2888,2,3,2,1,1,1,1,sub-STSWD1118,0.4289274199480971,-0.7742357138335813,1.7232690233594825,3rd,1st,4th,0.2391385188418523,-1.2364997312291153,1.1832556022478808
1,0.65978,2,3,2,1,1,1,1,sub-STSWD1118,0.4364806807360211,-0.6770819071664033,1.515929518178268,3rd,1st,4th,0.2391385188418523,-1.2364997312291153,1.1832556022478808
