mode,type,rt,acc,item_1,item_2,item_cue,subj_idx,item_1_number,item_2_number,item_cue_number,trial_type,summed_similarity,similarity_bin,ams,pams,slps,ams_quantile,pams_quantile,slps_quantile,ams_bin,pam_bin,slp_bin
mem,resp,914,0,mem2.3.1.bmp,mem3.1.1.bmp,mem2.2.1.bmp,ACC031,"[0, 3, -3]","[3, -3, -3]","[0, 0, -3]",non-match,1.3030765749413242,4,-0.8136544908395023,0.9778018570532157,-1.3057917310132892,1st,4th,1st,-1.2850505989406478,1.3095207568324363,-1.1336579735535868
mem,resp,804,0,mem1.2.1.bmp,mem3.1.2.bmp,mem3.1.2.bmp,ACC031,"[-3, 0, -3]","[3, -3, 0]","[3, -3, 0]",match,1.2928932188134525,,-0.5388718673285505,-0.3951544863721295,-1.3027476993767024,2nd,2nd,1st,-0.2996502577125311,-0.3857567763323112,-1.1336579735535868
mem,resp,838,1,mem1.1.2.bmp,mem1.2.2.bmp,mem1.1.2.bmp,ACC031,"[-3, -3, 0]","[-3, 0, 0]","[-3, -3, 0]",match,1.7113248654051871,,-1.9634391013232781,-0.9101669221616411,-1.5820758767840173,1st,1st,1st,-1.2850505989406478,-1.2299047342055414,-1.1336579735535868
mem,resp,1130,0,mem3.2.2.bmp,mem1.3.2.bmp,mem1.3.2.bmp,ACC031,"[3, 0, 0]","[-3, 3, 0]","[-3, 3, 0]",match,1.3545027756320973,,-0.07327251173294703,0.9572377145157704,-1.274941465296106,2nd,4th,1st,-0.2996502577125311,1.3095207568324363,-1.1336579735535868
mem,resp,832,0,mem2.1.2.bmp,mem1.1.3.bmp,mem3.1.1.bmp,ACC031,"[0, -3, 0]","[-3, -3, 3]","[3, -3, -3]",non-match,0.7752551286084112,2,0.049097402033741175,-1.8846226743869705,-0.8980791239292332,2nd,1st,1st,-0.2996502577125311,-1.2299047342055414,-1.1336579735535868
mem,resp,1277,1,mem3.2.1.bmp,mem3.3.1.bmp,mem3.3.3.bmp,ACC031,"[3, 0, -3]","[3, 3, -3]","[3, 3, 3]",non-match,0.7771525064424715,2,-0.06585832072301592,1.500196488460911,-0.916478114833254,2nd,4th,1st,-0.2996502577125311,1.3095207568324363,-1.1336579735535868
mem,resp,1120,1,mem2.1.1.bmp,mem1.2.1.bmp,mem2.2.2.bmp,ACC031,"[0, -3, -3]","[-3, 0, -3]","[0, 0, 0]",non-match,1.1835034190722742,4,-0.5856308124280961,1.520030574831179,-1.2945497027624562,2nd,4th,1st,-0.2996502577125311,1.3095207568324363,-1.1336579735535868
mem,resp,608,1,mem2.3.2.bmp,mem1.3.3.bmp,mem1.3.3.bmp,ACC031,"[0, 3, 0]","[-3, 3, 3]","[-3, 3, 3]",match,1.591751709536137,,-0.22876359197077764,0.38752337678838955,-1.3794176850305884,2nd,3rd,1st,-0.2996502577125311,0.3061407537054162,-1.1336579735535868
mem,resp,888,0,mem1.3.2.bmp,mem3.1.3.bmp,mem3.1.3.bmp,ACC031,"[-3, 3, 0]","[3, -3, 3]","[3, -3, 3]",match,1.1339745962155614,,0.5836337778208425,0.435949974546852,-1.6841263292542101,3rd,3rd,1st,0.33628216143433143,0.3061407537054162,-1.1336579735535868
mem,resp,795,0,mem3.1.2.bmp,mem2.1.3.bmp,mem3.2.2.bmp,ACC031,"[3, -3, 0]","[0, -3, 3]","[3, 0, 0]",non-match,1.2113248654051871,4,0.5060168030878057,-1.0071593603225364,-1.4969245213269846,3rd,1st,1st,0.33628216143433143,-1.2299047342055414,-1.1336579735535868
mem,resp,905,1,mem1.1.1.bmp,mem2.1.2.bmp,mem1.1.1.bmp,ACC031,"[-3, -3, -3]","[0, -3, 0]","[-3, -3, -3]",match,1.591751709536137,,-0.2654554963994141,-0.8229813267644366,-1.6038017085931175,2nd,1st,1st,-0.2996502577125311,-1.2299047342055414,-1.1336579735535868
mem,resp,570,1,mem3.3.1.bmp,mem2.3.1.bmp,mem2.3.1.bmp,ACC031,"[3, 3, -3]","[0, 3, -3]","[0, 3, -3]",match,1.7113248654051871,,0.27504217234467576,-0.05158430187907373,-1.4093327058051768,3rd,3rd,1st,0.33628216143433143,0.3061407537054162,-1.1336579735535868
mem,resp,835,1,mem3.1.3.bmp,mem1.2.3.bmp,mem3.1.3.bmp,ACC031,"[3, -3, 3]","[-3, 0, 3]","[3, -3, 3]",match,1.3545027756320973,,0.101391635274342,1.0992817327791031,-1.4451017479859096,3rd,4th,1st,0.33628216143433143,1.3095207568324363,-1.1336579735535868
mem,resp,784,1,mem3.3.3.bmp,mem3.3.2.bmp,mem2.3.3.bmp,ACC031,"[3, 3, 3]","[3, 3, 0]","[0, 3, 3]",non-match,1.3030765749413242,4,0.2540778566083194,-0.36885101246639923,-1.246903387323777,3rd,2nd,1st,0.33628216143433143,-0.3857567763323112,-1.1336579735535868
mem,resp,650,1,mem2.1.3.bmp,mem2.2.1.bmp,mem1.3.3.bmp,ACC031,"[0, -3, 3]","[0, 0, -3]","[-3, 3, 3]",non-match,0.6473959944455496,1,-0.1148198774409614,-0.7205676593152076,-1.292589712186736,2nd,2nd,1st,-0.2996502577125311,-0.3857567763323112,-1.1336579735535868
mem,resp,897,1,mem3.2.3.bmp,mem1.1.2.bmp,mem3.1.2.bmp,ACC031,"[3, 0, 3]","[-3, -3, 0]","[3, -3, 0]",non-match,1.0144014403465114,3,-2.1963528983081835,-0.35248326564771204,-1.3715395886021475,1st,2nd,1st,-1.2850505989406478,-0.3857567763323112,-1.1336579735535868
mem,resp,578,1,mem3.1.1.bmp,mem2.1.1.bmp,mem2.1.1.bmp,ACC031,"[3, -3, -3]","[0, -3, -3]","[0, -3, -3]",match,1.7113248654051871,,-0.5996661675440493,-0.8912859526624716,-0.9213941495879225,2nd,1st,1st,-0.2996502577125311,-1.2299047342055414,-1.1336579735535868
mem,resp,836,1,mem1.3.1.bmp,mem3.3.2.bmp,mem3.1.3.bmp,ACC031,"[-3, 3, -3]","[3, 3, 0]","[3, -3, 3]",non-match,0.3545027756320972,1,-0.8408147296644851,-1.381015198314723,-1.1336173563688927,1st,1st,1st,-1.2850505989406478,-1.2299047342055414,-1.1336579735535868
mem,resp,608,1,mem2.2.1.bmp,mem2.3.1.bmp,mem3.2.1.bmp,ACC031,"[0, 0, -3]","[0, 3, -3]","[3, 0, -3]",non-match,1.3030765749413242,4,-1.7067407127870626,-1.5696447350256941,-1.1268465052982826,1st,1st,1st,-1.2850505989406478,-1.2299047342055414,-1.1336579735535868
mem,resp,738,1,mem2.2.2.bmp,mem2.3.3.bmp,mem3.3.1.bmp,ACC031,"[0, 0, 0]","[0, 3, 3]","[3, 3, -3]",non-match,0.8545027756320972,2,-0.6513281537217158,1.0572965832027852,-1.2791275491506084,1st,4th,1st,-1.2850505989406478,1.3095207568324363,-1.1336579735535868
mem,resp,915,1,mem1.2.2.bmp,mem3.2.2.bmp,mem2.3.2.bmp,ACC031,"[-3, 0, 0]","[3, 0, 0]","[0, 3, 0]",non-match,1.1835034190722742,4,0.17490196606097336,-1.578477014437131,-1.055139741094636,3rd,1st,1st,0.33628216143433143,-1.2299047342055414,-1.1336579735535868
mem,resp,638,1,mem1.3.3.bmp,mem2.1.3.bmp,mem1.1.2.bmp,ACC031,"[-3, 3, 3]","[0, -3, 3]","[-3, -3, 0]",non-match,0.9462544851682343,3,-0.9626293817629199,-0.4958373195333063,-0.8530515898622616,1st,2nd,2nd,-1.2850505989406478,-0.3857567763323112,-0.5216200836989492
mem,resp,654,1,mem3.3.2.bmp,mem3.1.2.bmp,mem1.1.1.bmp,ACC031,"[3, 3, 0]","[3, -3, 0]","[-3, -3, -3]",non-match,0.4884773718476586,1,-0.9357849853977626,0.2344562023970589,-1.0094999848668371,1st,3rd,1st,-1.2850505989406478,0.3061407537054162,-1.1336579735535868
mem,resp,761,1,mem1.1.3.bmp,mem2.2.3.bmp,mem1.1.3.bmp,ACC031,"[-3, -3, 3]","[0, 0, 3]","[-3, -3, 3]",match,1.591751709536137,,0.2221457549805128,-0.9540726211549992,-0.9142435636909804,3rd,1st,1st,0.33628216143433143,-1.2299047342055414,-1.1336579735535868
mem,resp,693,1,mem2.3.3.bmp,mem1.3.2.bmp,mem3.2.2.bmp,ACC031,"[0, 3, 3]","[-3, 3, 0]","[3, 0, 0]",non-match,0.8545027756320972,2,-0.8856691907545967,-0.7017528187188588,-0.8010742818349594,1st,2nd,2nd,-1.2850505989406478,-0.3857567763323112,-0.5216200836989492
mem,resp,787,1,mem3.2.1.bmp,mem1.2.3.bmp,mem3.2.1.bmp,ACC031,"[3, 0, -3]","[-3, 0, 3]","[3, 0, -3]",match,1.1835034190722742,,0.8102827858260971,0.05756112785313851,-0.9146732361893819,4th,3rd,1st,1.2484186952188474,0.3061407537054162,-1.1336579735535868
mem,resp,702,0,mem2.1.1.bmp,mem2.3.2.bmp,mem2.1.2.bmp,ACC031,"[0, -3, -3]","[0, 3, 0]","[0, -3, 0]",non-match,1.1339745962155614,4,-0.5765898768885789,-0.830373988827671,-0.8150247231161017,2nd,1st,2nd,-0.2996502577125311,-1.2299047342055414,-0.5216200836989492
mem,resp,908,1,mem3.3.3.bmp,mem1.1.3.bmp,mem3.3.3.bmp,ACC031,"[3, 3, 3]","[-3, -3, 3]","[3, 3, 3]",match,1.1835034190722742,,-0.4198065075466714,-0.48410754861506367,-0.8772277733059696,2nd,2nd,1st,-0.2996502577125311,-0.3857567763323112,-1.1336579735535868
mem,resp,583,0,mem1.3.3.bmp,mem3.3.1.bmp,mem3.2.2.bmp,ACC031,"[-3, 3, 3]","[3, 3, -3]","[3, 0, 0]",non-match,0.8846449283495895,2,-0.21363940717634852,-0.4713273272117271,-0.9059022585344981,2nd,2nd,1st,-0.2996502577125311,-0.3857567763323112,-1.1336579735535868
mem,resp,681,1,mem3.1.1.bmp,mem2.2.2.bmp,mem1.2.1.bmp,ACC031,"[3, -3, -3]","[0, 0, 0]","[-3, 0, -3]",non-match,0.9462544851682343,3,-1.1223182726482186,-1.7056426445235224,-0.7925767066806974,1st,1st,2nd,-1.2850505989406478,-1.2299047342055414,-0.5216200836989492
mem,resp,624,1,mem1.3.1.bmp,mem1.2.2.bmp,mem1.2.2.bmp,ACC031,"[-3, 3, -3]","[-3, 0, 0]","[-3, 0, 0]",match,1.591751709536137,,-0.540163111320958,-0.8482460492486527,-0.670772022439958,2nd,1st,2nd,-0.2996502577125311,-1.2299047342055414,-0.5216200836989492
mem,resp,526,1,mem2.3.2.bmp,mem3.3.3.bmp,mem2.3.2.bmp,ACC031,"[0, 3, 0]","[3, 3, 3]","[0, 3, 0]",match,1.591751709536137,,-0.47248850139239434,0.3217409046489486,-0.29708695145504,2nd,3rd,2nd,-0.2996502577125311,0.3061407537054162,-0.5216200836989492
mem,resp,622,1,mem3.3.1.bmp,mem3.1.3.bmp,mem3.1.3.bmp,ACC031,"[3, 3, -3]","[3, -3, 3]","[3, -3, 3]",match,1.1835034190722742,,-0.5171062741173749,0.7460619616967555,-0.33513756915894966,2nd,4th,2nd,-0.2996502577125311,1.3095207568324363,-0.5216200836989492
mem,resp,433,1,mem2.2.2.bmp,mem2.1.2.bmp,mem2.1.2.bmp,ACC031,"[0, 0, 0]","[0, -3, 0]","[0, -3, 0]",match,1.7113248654051871,,0.6049708244273964,-0.512101137147626,-0.18518124946934972,3rd,2nd,2nd,0.33628216143433143,-0.3857567763323112,-0.5216200836989492
mem,resp,546,1,mem1.1.3.bmp,mem1.1.1.bmp,mem1.1.3.bmp,ACC031,"[-3, -3, 3]","[-3, -3, -3]","[-3, -3, 3]",match,1.4226497308103743,,0.8623472036086262,0.8381120969299359,-0.17049744256805835,4th,4th,2nd,1.2484186952188474,1.3095207568324363,-0.5216200836989492
mem,resp,711,1,mem2.2.1.bmp,mem2.1.1.bmp,mem2.2.1.bmp,ACC031,"[0, 0, -3]","[0, -3, -3]","[0, 0, -3]",match,1.7113248654051871,,-1.0757994037464669,-0.09115771436710643,-0.26837936497291853,1st,3rd,2nd,-1.2850505989406478,0.3061407537054162,-0.5216200836989492
mem,resp,564,1,mem2.1.3.bmp,mem3.1.1.bmp,mem3.1.1.bmp,ACC031,"[0, -3, 3]","[3, -3, -3]","[3, -3, -3]",match,1.3545027756320973,,1.047557208990369,0.8494346279862034,-0.22655258780171167,4th,4th,2nd,1.2484186952188474,1.3095207568324363,-0.5216200836989492
mem,resp,435,1,mem3.1.2.bmp,mem2.1.1.bmp,mem2.1.1.bmp,ACC031,"[3, -3, 0]","[0, -3, -3]","[0, -3, -3]",match,1.591751709536137,,0.41673349405235893,-0.8472482337372234,-0.11671697540224704,3rd,1st,3rd,0.33628216143433143,-1.2299047342055414,0.20921330949155886
mem,resp,590,1,mem3.2.1.bmp,mem1.2.2.bmp,mem1.1.2.bmp,ACC031,"[3, 0, -3]","[-3, 0, 0]","[-3, -3, 0]",non-match,1.0042180842186395,3,-2.2213859736772696,-0.5902793834587664,-0.03032922717768871,1st,2nd,3rd,-1.2850505989406478,-0.3857567763323112,0.20921330949155886
mem,resp,1047,1,mem2.1.2.bmp,mem1.3.3.bmp,mem2.1.2.bmp,ACC031,"[0, -3, 0]","[-3, 3, 3]","[0, -3, 0]",match,1.2928932188134525,,-1.2937401565075282,-1.5556632525305882,0.000654947837556788,1st,1st,3rd,-1.2850505989406478,-1.2299047342055414,0.20921330949155886
mem,resp,975,1,mem3.2.2.bmp,mem3.1.3.bmp,mem3.1.1.bmp,ACC031,"[3, 0, 0]","[3, -3, 3]","[3, -3, -3]",non-match,1.0144014403465114,3,-1.4169926225893081,-1.079859590393477,-0.09167587431171914,1st,1st,3rd,-1.2850505989406478,-1.2299047342055414,0.20921330949155886
mem,resp,487,1,mem1.3.2.bmp,mem1.2.3.bmp,mem1.2.3.bmp,ACC031,"[-3, 3, 0]","[-3, 0, 3]","[-3, 0, 3]",match,1.591751709536137,,0.9019363566526671,0.13337650931941228,-0.549530428711079,4th,3rd,2nd,1.2484186952188474,0.3061407537054162,-0.5216200836989492
mem,resp,799,1,mem2.1.1.bmp,mem3.3.2.bmp,mem3.3.2.bmp,ACC031,"[0, -3, -3]","[3, 3, 0]","[3, 3, 0]",match,1.2928932188134525,,-0.9920113365738575,-1.9158436312569724,-0.6702373732929582,1st,1st,2nd,-1.2850505989406478,-1.2299047342055414,-0.5216200836989492
mem,resp,604,1,mem2.3.2.bmp,mem3.2.3.bmp,mem3.1.2.bmp,ACC031,"[0, 3, 0]","[3, 0, 3]","[3, -3, 0]",non-match,0.9462544851682343,3,-0.950691336483429,0.18860106313833871,-0.8083424502139513,1st,3rd,2nd,-1.2850505989406478,0.3061407537054162,-0.5216200836989492
mem,resp,500,1,mem1.1.2.bmp,mem1.1.3.bmp,mem1.1.3.bmp,ACC031,"[-3, -3, 0]","[-3, -3, 3]","[-3, -3, 3]",match,1.7113248654051871,,0.2649603419408464,-1.4813801834883642,-0.6244349203424618,3rd,1st,2nd,0.33628216143433143,-1.2299047342055414,-0.5216200836989492
